/IN_AMP X,/IN_AMP Y,/OUT_AMP X,/OUT_AMP Y
1.591788347246094e-10,-0.0001588961623168725,1.591788347246094e-10,0.0008453014274999715
1.634615384615e-10,-0.0009379886785074,1.634615384615e-10,-0.001652851637010361
1.636884921360336e-10,-0.0009303266646446825,1.636884921360336e-10,-0.001778695313007172
1.644490805468271e-10,-0.0009046490061564621,1.644490805468271e-10,-0.002184828355934072
1.655018767031927e-10,-0.0008691063397455088,1.655018767031927e-10,-0.00268809458895737
1.663206877848696e-10,-0.0008414630690575724,1.663206877848696e-10,-0.003023788229310673
1.679583099482234e-10,-0.0007861765276816995,1.679583099482234e-10,-0.003518176359303233
1.712335542749309e-10,-0.0006756034449299539,1.712335542749309e-10,-0.003706883947213028
1.728711764382847e-10,-0.000620316903554081,1.728711764382847e-10,-0.003387679982327581
1.733565564465282e-10,-0.0005662665336867894,1.733565564465282e-10,-0.003241140431927967
1.743273164630151e-10,-0.0004027417665080422,1.743273164630151e-10,-0.002883628095196183
1.748862431273743e-10,-0.0003085904303311654,1.748862431273743e-10,-0.002641153326959557
1.760040964560927e-10,-0.0001202877579774117,1.760040964560927e-10,-0.002088066230900796
1.776969520729247e-10,0.0001648741933887833,1.776969520729247e-10,-0.001117984583863858
1.798536303665866e-10,0.0005281671904848152,1.798536303665866e-10,0.000234623897217269
1.826923076923e-10,0.001006343094827,1.826923076923e-10,0.001930859848135428
1.829011470580189e-10,0.000992573609903137,1.829011470580189e-10,0.002043888235297792
1.834433232808151e-10,0.0009568260998483701,1.834433232808151e-10,0.002328044212300027
1.842145479201682e-10,0.0009059766538738218,1.842145479201682e-10,0.00269742300105272
1.848382384504071e-10,0.0008648546301417648,1.848382384504071e-10,0.002962712141491058
1.860856195108851e-10,0.0007826105826776509,1.860856195108851e-10,0.003389725494285087
1.88580381631841e-10,0.0006181224877494231,1.88580381631841e-10,0.00377633658394478
1.911127014896645e-10,0.0004511580843446164,1.911127014896645e-10,0.0035003389496523
1.923257343129084e-10,0.0003698001515648503,1.923257343129084e-10,0.003134497299424237
1.929824365123619e-10,0.0002763232687368118,1.929824365123619e-10,0.002879152910500195
1.935995863071251e-10,0.0001884763891307446,1.935995863071251e-10,0.002606318331156182
1.946988443283421e-10,3.200483576517245e-05,1.946988443283421e-10,0.002052617682711644
1.957160263180797e-10,-0.0001127837788437281,1.957160263180797e-10,0.00147632821429895
1.96979294557006e-10,-0.0002926010190612439,1.96979294557006e-10,0.0007034382793387568
1.985026208713453e-10,-0.000509435674880666,1.985026208713453e-10,-0.0002641895540188343
1.999112742488048e-10,-0.0007099474545270284,1.999112742488048e-10,-0.001133600446058131
2.019230769231e-10,-0.0009963132425733002,2.019230769231e-10,-0.002254617698702233
2.021323559889578e-10,-0.0009771540994493743,2.021323559889578e-10,-0.002357409488710334
